ID,Title,Language,Release Date,Subjects,Categories,Reading Ease
237,Sexti Properti Elegiarvm: Liber Primvs,Latin,"Mar 1, 1995","['Latin poetry', 'Rome -- Poetry', 'Man-woman relationships -- Poetry', 'Elegiac poetry, Latin', 'Love poetry, Latin']",['PA: Language and Literatures: Classical Languages and Literature'],41.127406131789144
238,Dear Enemy,English,"Jul 3, 2008",['Orphans -- Fiction'],"['PZ: Language and Literatures: Juvenile belles lettres', 'PS: Language and Literatures: American and Canadian literature']",69.10298243322724
239,Radar Map of the United States,English,"Mar 1, 1995",['United States -- Maps'],"['G: Geography, Anthropology, Recreation']",
240,Stories from the Old Attic,English,"Apr 1, 1995","['Fiction', 'Short stories', 'Fables']",['PS: Language and Literatures: American and Canadian literature'],67.59031392534172
241,"Clotelle; Or, The Colored Heroine, a tale of the Southern States; Or, The President's Daughter",English,"Jul 2, 2008","['Children of presidents -- Fiction', 'Enslaved women -- Fiction', 'Jefferson, Thomas, 1743-1826 -- Relations with women -- Fiction', 'Domestic fiction', 'Illegitimate children -- Fiction', 'African American women -- Fiction', 'African American families -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],65.48148508571639
242,My Ántonia,English,"Jul 11, 2008","['Nebraska -- Fiction', 'Frontier and pioneer life -- Nebraska -- Fiction', 'Western stories', 'Domestic fiction', 'Friendship -- Fiction', 'Married women -- Fiction', 'Farm life -- Fiction', 'Women pioneers -- Fiction', 'Women immigrants -- Fiction', ""Farmers' spouses -- Fiction"", 'Czech Americans -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],76.18538895715086
243,"The forged coupon, and other stories",English,"Mar 15, 2006","['Short stories, Russian -- Translations into English', 'Russian fiction -- Translations into English', 'Tolstoy, Leo, graf, 1828-1910 -- Translations into English']","['PG: Language and Literatures: Slavic (including Russian), Languages and Literature']",68.88076202988978
244,A Study in Scarlet,English,"Apr 1, 1995","['Holmes, Sherlock (Fictitious character) -- Fiction', 'Private investigators -- England -- Fiction', 'Detective and mystery stories', 'England -- Fiction']",['PR: Language and Literatures: English literature'],71.85401576033297
245,Life on the Mississippi,English,"Jul 10, 2004","['Mississippi River -- Description and travel', 'Mississippi River Valley -- Social life and customs -- 19th century', 'Authors, American -- 19th century -- Biography', 'Pilots and pilotage -- Mississippi River', 'Twain, Mark, 1835-1910 -- Travel -- Mississippi River']",['PS: Language and Literatures: American and Canadian literature'],67.0885627546795
246,The Rubaiyat of Omar Khayyam,English,"Apr 1, 1995",['Persian poetry -- Translations into English'],['PK: Language and Literatures: Indo-Iranian literatures'],57.60940642268547
247,Webster's Unabridged Dictionary (1st 100 Pages),English,"Apr 1, 1995",['English language -- Dictionaries'],"['AG: General Works: Dictionaries and other general reference books', 'PE: Language and Literatures: English']",58.807453492690854
248,Webster's Unabridged Dictionary (2nd 100 Pages),English,"Apr 1, 1995",['English language -- Dictionaries'],"['AG: General Works: Dictionaries and other general reference books', 'PE: Language and Literatures: English']",70.49118610531609
249,French Cave Paintings,English,"Apr 1, 1995","[""Cave paintings -- France -- Vallon-Pont-d'Arc"", ""Art, Prehistoric -- France -- Vallon-Pont-d'Arc"", 'Chauvet Cave (France)']",['N: Fine Arts'],40.52347452350409
250,A Brief History of the Internet The Bright Side: The Dark Side,English,"Apr 1, 1995","['Internet -- History', 'Computer networks -- United States -- History']","['TK: Technology: Electrical, Electronics and Nuclear engineering']",46.94400864511769
251,1995 United States Congressional Address Book,English,"Apr 1, 1995",['United States. Congress'],['JK: Political science: Political inst. and pub. Admin.: United States'],58.845364753182736
252,Copyright Law of the United States of America Contained in Title 17 of the United States Code,English,"Apr 1, 1995",['Copyright -- United States'],"['KF: Law in general, Comparative and uniform law, Jurisprudence: United States']",17.83291052075478
253,The Universal Copyright Convention (1988),English,"Apr 1, 1995","['Copyright, International']",['JX: Political science: International law'],25.528661164989927
254,The Second Story of Meno A Continuation of Socrates' Dialogue with Meno in Which the Boy Proves Root 2 is Irrational,English,"Jul 9, 2008",['Mathematics'],['QA: Science: Mathematics'],62.920205560860424
255,"QREAD, Etext Reader for Windows",English,"Apr 1, 1995",['Electronic book readers'],"['Z: Bibliography, Library science']",40.51099863501196
256,Motion Picture of Rotating Earth,English,"May 1, 1995",['World maps'],"['G: Geography, Anthropology, Recreation']",
257,Troilus and Criseyde,English,"May 1, 1995","['Troilus (Legendary character) -- Poetry', 'Trojan War -- Poetry', 'Cressida (Fictitious character) -- Poetry', 'Troy (Extinct city) -- Poetry']",['PR: Language and Literatures: English literature'],78.48789979855881
258,Poems by Adam Lindsay Gordon,English,"Jun 29, 2008","['Gordon, Adam Lindsay, 1833-1870', 'Australia -- Poetry']",['PR: Language and Literatures: English literature'],74.62996201232137
259,Ballads of a Cheechako,English,"Jul 2, 2008","['Frontier and pioneer life -- Yukon -- Poetry', 'Klondike River Valley (Yukon) -- Gold discoveries -- Poetry']",['PS: Language and Literatures: American and Canadian literature'],71.28584923985422
260,An Introduction to the Study of Robert Browning's Poetry,English,"Jul 5, 2008","['Browning, Robert, 1812-1889', 'Browning, Robert, 1812-1889 -- Bibliography', 'Browning, Robert, 1812-1889 -- Criticism and interpretation']",['PR: Language and Literatures: English literature'],66.36505416814005
261,A Dome of Many-Coloured Glass,English,"Jul 3, 2008",['American poetry'],['PS: Language and Literatures: American and Canadian literature'],64.14048120798458
262,The Collected Poems of Rupert Brooke,English,"May 1, 1995","['English poetry', 'Poets, English -- 20th century -- Biography', 'Brooke, Rupert, 1887-1915']",['PR: Language and Literatures: English literature'],68.41575497395421
263,"Trees, and Other Poems",English,"May 1, 1995","['Poetry, Modern -- 20th century']",['PS: Language and Literatures: American and Canadian literature'],67.33651243495832
264,"Main Street, and Other Poems",English,"Jul 9, 2008","['City and town life -- Poetry', 'Poetry, Modern -- 20th century']",['PS: Language and Literatures: American and Canadian literature'],63.09497672908289
265,The Life and Death of Cormac the Skald,English,"Jul 3, 2008","['Kormákr Ögmundarson, approximately 935-970 -- Romances', 'Sagas -- Translations into English']","['PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures']",78.34153534741857
266,"Confessio Amantis; Or, Tales of the Seven Deadly Sins",English,"Jul 3, 2008","['Courtly love -- Poetry', 'Christian poetry, English (Middle)', 'Love poetry, English (Middle)', 'Christian ethics -- Poetry']",['PR: Language and Literatures: English literature'],60.630968991402256
267,The Touchstone,English,"May 1, 1995","['Psychological fiction', 'Rejection (Psychology) -- Fiction', 'Married people -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Women novelists -- Fiction', 'Love-letters -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],66.42194412011551
268,The Octopus : A Story of California,English,"Jul 11, 2008","['Didactic fiction', 'Farm life -- Fiction', 'Mussel Slough Tragedy, 1880 -- Fiction', 'Wheat farmers -- Fiction', 'Farmers -- Fiction', 'San Joaquin Valley (Calif.) -- Fiction', 'California -- Fiction', 'Railroad stories']",['PS: Language and Literatures: American and Canadian literature'],71.59929983525598
269,Beasts and Super-Beasts,English,"May 1, 1995","['Humorous stories', 'Supernatural -- Fiction', 'Short stories, English']",['PR: Language and Literatures: English literature'],61.60584021724114
270,Dream Days,English,"Jul 3, 2008","['England -- Fiction', 'Siblings -- Fiction', 'Country life -- Fiction']",['PR: Language and Literatures: English literature'],65.42342080721234
271,Black Beauty,English,"Jan 16, 2006","['Historical fiction', 'Horses -- Juvenile fiction', 'Human-animal relationships -- Juvenile fiction', 'Great Britain -- History -- 19th century -- Juvenile fiction']","['PR: Language and Literatures: English literature', 'PZ: Language and Literatures: Juvenile belles lettres']",76.47293889126182
272,An Open Letter on Translating,English,"Jun 1, 1995","['Reformation -- Germany', 'Bible -- Translating']","['BR: Philosophy, Psychology, Religion: Christianity']",61.38473405026146
273,The Smalcald Articles,English,"Jun 1, 1995","['Lutheran Church -- Doctrines -- Early works to 1800', 'Lutheran Church -- Relations -- Catholic Church -- Early works to 1800', 'Catholic Church -- Relations -- Lutheran Church -- Early works to 1800', 'Lutheran Church -- Creeds -- Early works to 1800']","['BX: Philosophy, Psychology, Religion: Christianity: Churches, Church movements']",53.85325175936552
274,Disputation of Doctor Martin Luther on the Power and Efficacy of Indulgences,English,"Jun 1, 1995","['Indulgences', 'Reformation -- Germany -- Sources']","['BR: Philosophy, Psychology, Religion: Christianity']",45.82947741992726
275,"The Augsburg Confession The confession of faith, which was submitted to His Imperial Majesty Charles V at the diet of Augsburg in the year 1530",English,"Jun 29, 2008","['Lutheran Church -- Doctrines', 'Theology, Doctrinal']","['BX: Philosophy, Psychology, Religion: Christianity: Churches, Church movements']",51.498966385797985
276,Franz Haydn's 104th Symphony [1794-5] MIDI file,English,"Jun 1, 1995",['Music'],['M: Music'],36.92862341739922
277,Trinity Site,English,"Jun 29, 2008","['Manhattan Project (U.S.)', 'Atomic bomb -- New Mexico -- Testing -- History']","['QC: Science: Physics', 'U: Military science', 'D731: History: General and Eastern Hemisphere: World War II (1939-1945)']",48.52116691338611
278,"Trinity Site: 1945-1995. A National Historic Landmark, White Sands Missile Range, New Mexico",English,"Sep 14, 2014","['Manhattan Project (U.S.)', 'Atomic bomb -- New Mexico -- Los Alamos -- Testing -- History']","['QC: Science: Physics', 'U: Military science', 'D731: History: General and Eastern Hemisphere: World War II (1939-1945)']",53.22631996243672
279,Photos and Maps of Trinity (Atomic Test) Site,English,"Sep 14, 2014","['Manhattan Project (U.S.)', 'Atomic bomb -- New Mexico -- Los Alamos -- Testing -- History']","['QC: Science: Physics', 'U: Military science', 'D731: History: General and Eastern Hemisphere: World War II (1939-1945)']",38.41868295858583
280,Records of a Family of Engineers,English,"Jun 1, 1995","['Stevenson, Robert, 1772-1850', 'Stephenson family', 'Engineers -- Great Britain -- Biography', 'Bell Rock Lighthouse (Scotland)', 'Lighthouses -- Scotland']",['TA: Technology: Engineering and Civil engineering'],53.51154801495922
281,Father Damien: An Open Letter to the Reverend Dr. Hyde of Honolulu,English,"Jun 1, 1995","['Damien, Saint, Father, 1840-1889']","['BX: Philosophy, Psychology, Religion: Christianity: Churches, Church movements']",51.768446003138294
282,"Eothen; Or, Traces of Travel Brought Home from the East",English,"Jun 1, 1995","['Middle East -- Description and travel', 'Kinglake, Alexander William, 1809-1891 -- Travel -- Middle East']",['DS: History: General and Eastern Hemisphere: Asia'],51.722662156708296
283,The Reef,English,"Jun 1, 1995","['Love stories', 'Domestic fiction', 'France -- Fiction', 'Man-woman relationships -- Fiction', 'Americans -- France -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],71.77783467344466
284,The House of Mirth,English,"Jun 1, 1995","['New York (N.Y.) -- Fiction', 'Psychological fiction', 'Single women -- Fiction', 'Social classes -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],64.56570297807052
285,The Lost Continent,English,"Jul 9, 2008","['Science fiction', 'Fantasy fiction', 'Atlantis (Legendary place) -- Fiction', 'Lost continents -- Fiction']",['PR: Language and Literatures: English literature'],74.11971887609027
286,Laddie: A True Blue Story,English,"Jun 1, 1995","['Didactic fiction', 'Indiana -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],81.7766645171988
287,Remember the Alamo,English,"Jun 29, 2008","['Texas -- History -- Revolution, 1835-1836 -- Fiction', 'Western stories', 'War stories', 'Alamo (San Antonio, Tex.) -- Siege, 1836 -- Fiction']","['PZ: Language and Literatures: Juvenile belles lettres', 'PS: Language and Literatures: American and Canadian literature']",71.20040149623965
288,The Certain Hour (Dizain des Poëtes),English,"Jul 1, 1995","['Short stories', 'Fantasy fiction']",['PS: Language and Literatures: American and Canadian literature'],64.63020230513001
289,The Wind in the Willows,English,"Jul 1, 1995","['Fantasy fiction', 'Animals -- Fiction', 'Humorous stories', 'England -- Fiction', 'Friendship -- Fiction', 'Pastoral fiction', 'Country life -- Fiction', 'River life -- Fiction']","['PR: Language and Literatures: English literature', 'PZ: Language and Literatures: Juvenile belles lettres']",72.0801023833224
290,"The Stark Munro Letters Being series of twelve letters written by J. Stark Munro, M.B., to his friend and former fellow-student, Herbert Swanborough, of Lowell, Massachusetts, during the years 1881-1884",English,"Jul 1, 1995",['Epistolary fiction'],['PR: Language and Literatures: English literature'],73.02180219134503
291,The Golden Age,English,"Jul 3, 2008","['England -- Fiction', 'Bildungsromans', 'Pastoral fiction', 'Siblings -- Fiction', 'Country life -- Fiction']",['PR: Language and Literatures: English literature'],62.98181293888926
292,"Beauty and the Beast, and Tales of Home",English,"Jun 29, 2008","['Short stories', 'United States -- Social life and customs -- 19th century -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],66.42243228395613
293,Paul Prescott's Charge,English,"Mar 15, 2006","['Orphans -- Fiction', 'Runaway teenagers -- Fiction', 'Conduct of life -- Fiction', 'New York (N.Y.) -- History -- 19th century -- Fiction']","['PZ: Language and Literatures: Juvenile belles lettres', 'PS: Language and Literatures: American and Canadian literature']",76.95829941522437
294,"The Captain of the Polestar, and Other Tales",English,"Jul 1, 1995","['Great Britain -- Social life and customs -- 19th century -- Fiction', 'Short stories, English']",['PR: Language and Literatures: English literature'],68.82614137922178
295,The Early Short Fiction of Edith Wharton — Part 1,English,"Jul 1, 1995","['Fiction', 'Short stories, American']",['PS: Language and Literatures: American and Canadian literature'],71.09457779828561
296,The Cash Boy,English,"Mar 15, 2006","['Adoptees -- Juvenile fiction', 'Orphans -- Juvenile fiction', 'Didactic fiction', 'Baseball -- Juvenile fiction', 'Adventure stories', 'Boys -- Juvenile fiction']","['PZ: Language and Literatures: Juvenile belles lettres', 'PS: Language and Literatures: American and Canadian literature']",79.44954638970776
297,The Flirt,English,"Jul 1, 1995","['Young women -- Fiction', 'Swindlers and swindling -- Fiction', 'Courtship -- Fiction', 'Forgery -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],71.51628051695522
298,The Market-Place,English,"Jul 9, 2008","['England -- Fiction', 'Swindlers and swindling -- Fiction', 'Nobility -- Fiction', 'Capitalists and financiers -- Fiction', 'Stock exchanges -- Fiction', 'Jews -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],70.97807413453019
299,Tales from Two Hemispheres,English,"Jul 1, 1995","['Short stories', 'Norwegian Americans -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],65.06387370676227
300,United States Declaration of Independence,English,"Jul 1, 1995","['United States -- History -- Revolution, 1775-1783 -- Sources']","['E201: History: America: Revolution (1775-1783)', 'JK: Political science: Political inst. and pub. Admin.: United States']",36.20464010170315
301,The Ballad of Reading Gaol,English,"Jul 1, 1995","['Imprisonment -- Poetry', 'Prisoners -- Poetry', 'Prisons -- Poetry']",['PR: Language and Literatures: English literature'],64.48688999619976
302,The Fibonacci Number Series,English,"Jul 1, 1995","['Mathematics', 'Fibonacci numbers']",['QA: Science: Mathematics'],-113.98762818719739
303,HomeBrew HomePages Put YOU on the World Wide Web,English,"Jul 1, 1995",['World Wide Web'],"['TK: Technology: Electrical, Electronics and Nuclear engineering']",37.42452960209704
304,"Rio Grande's Last Race, and Other Verses",English,"Aug 1, 1995",['Australian poetry'],['PR: Language and Literatures: English literature'],70.47705957631027
305,The Count's Millions,English,"Jul 2, 2008","['Fiction', 'Detective and mystery stories']","['PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese']",68.0631187011825
306,The Early Short Fiction of Edith Wharton — Part 2,English,"Aug 1, 1995","['Fiction', 'Short stories, American']",['PS: Language and Literatures: American and Canadian literature'],67.1467343898636
307,"Three Elephant Power, and Other Stories",English,"Jun 29, 2008","['Frontier and pioneer life -- Australia -- Fiction', 'Short stories, Australian', 'Australia -- Social life and customs -- Fiction']",['PR: Language and Literatures: English literature'],70.13760177264764
308,Three men in a boat (to say nothing of the dog),English,"Aug 1, 1995","['Young men -- Travel -- England -- Thames River -- Fiction', 'Boats and boating -- England -- Thames River -- Fiction', 'Dogs -- Fiction', 'Humorous stories, English', 'Thames River (England) -- Fiction', 'Male friendship -- Fiction']",['PR: Language and Literatures: English literature'],73.69746096441115
309,Rhymes of a Rolling Stone,English,"Aug 1, 1995",['Poetry'],['PS: Language and Literatures: American and Canadian literature'],79.0971177206218
310,Before Adam,English,"Jun 29, 2008","['Fantasy fiction', 'Prehistoric peoples -- Fiction', 'Dreams -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],74.52863409878798
311,Bunner Sisters,English,"Jul 2, 2008",['New York (N.Y.) -- Social life and customs -- 19th century -- Fiction'],['PS: Language and Literatures: American and Canadian literature'],67.0803861827666
312,Young Adventure: A Book of Poems,English,"Aug 1, 1995",['American poetry'],['PS: Language and Literatures: American and Canadian literature'],73.5748635091593
313,Children of the Night,English,"Jul 2, 2008",['Poetry'],['PS: Language and Literatures: American and Canadian literature'],64.3814555372526
314,"Guide to Life and Literature of the Southwest, with a Few Observations",English,"Aug 1, 1995","['Southwest, New -- Bibliography']","['Z: Bibliography, Library science']",54.22456615905651
315,Rhymes of a Red Cross Man,English,"Aug 1, 1995","['World War, 1914-1918 -- Poetry']",['PS: Language and Literatures: American and Canadian literature'],79.35748810866443
316,The Golden Road,English,"Jul 5, 2008","['Prince Edward Island -- Juvenile fiction', 'Friendship -- Juvenile fiction', ""Children's stories, Canadian"", 'Authorship -- Juvenile fiction', 'Publishers and publishing -- Juvenile fiction']","['PZ: Language and Literatures: Juvenile belles lettres', 'PS: Language and Literatures: American and Canadian literature']",75.77620887083891
317,"The Culprit Fay, and Other Poems",English,"Aug 1, 1995","['American poetry -- 19th century', 'Fairies -- Poetry', 'New York (State) -- Poetry']",['PS: Language and Literatures: American and Canadian literature'],58.64306638057896
318,John Barleycorn,English,"Aug 1, 1995","['London, Jack, 1876-1916', 'Authors, American -- 20th century -- Biography', 'Alcoholics -- United States -- Biography', 'Drinking of alcoholic beverages -- United States']",['PS: Language and Literatures: American and Canadian literature'],71.32917358501834
319,The Ways of Men,English,"Aug 1, 1995",['American essays -- 19th century'],['PS: Language and Literatures: American and Canadian literature'],52.274764103727705
320,Vida De Lazarillo De Tormes Y De Sus Fortunas Y Adversidades,Spanish,"Sep 1, 1995","['Spanish fiction', 'Spain -- Social conditions -- 16th century -- Fiction', 'Picaresque literature, Spanish']","['PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese']",50.581268716176396
321,Moran of the Lady Letty,English,"Jul 9, 2008","['Sea stories', 'Adventure stories', 'California -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],74.9262589717585
322,St. Ives: Being the Adventures of a French Prisoner in England,English,"Sep 1, 1995","['Prisoners of war -- Fiction', 'French -- England -- Fiction']",['PR: Language and Literatures: English literature'],73.42270440006241
323,Verses 1889-1896,English,"Jun 29, 2008","['Poetry', 'India -- Poetry']",['PR: Language and Literatures: English literature'],77.55448570774112
324,A Knight of the Cumberland,English,"Jul 9, 2008","['Historical fiction', 'Country life -- Fiction', 'Kentucky -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],72.68152072657745
325,Phantastes: A Faerie Romance for Men and Women,English,"Jul 11, 2008",['Fantasy fiction'],['PR: Language and Literatures: English literature'],70.1326555276251
326,Steep Trails,English,"Sep 1, 1995","['West (U.S.) -- Description and travel', 'Shasta, Mount (Calif. : Mountain)', 'Forests and forestry -- West (U.S.)']",['F590.3: United States local history: The West. Trans-Mississippi Region. Great Plains'],51.544785232466666
327,The Princess Aline,English,"Sep 1, 1995","['Young men -- Fiction', 'Princesses -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],69.2235447330163
328,A Heap o' Livin',English,"Sep 1, 1995",['Poetry'],['PS: Language and Literatures: American and Canadian literature'],75.17401935833081
329,Island Nights' Entertainments,English,"Sep 1, 1995","['Short stories', 'Islands of the Pacific -- Fiction']",['PR: Language and Literatures: English literature'],80.83382077694547
330,Where There's a Will,English,"Mar 15, 2006","['Humorous stories', 'Detective and mystery stories', 'Love stories', 'Man-woman relationships -- Fiction', 'Health resorts -- Fiction', 'Impersonation -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],81.89142293636293
331,The Mucker,English,"Sep 1, 1995","['Adventure stories', 'American fiction -- 20th century']",['PS: Language and Literatures: American and Canadian literature'],73.54848698471078
332,The Burial of the Guns,English,"Jul 2, 2008","['Short stories', 'United States -- Social life and customs -- 19th century -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],72.33832124206906
333,Robert Louis Stevenson,English,"Sep 1, 1995","['Stevenson, Robert Louis, 1850-1894', 'Authors, Scottish -- 19th century -- Biography']",['PR: Language and Literatures: English literature'],50.3227543954236
334,Episodes in Van Bibber's Life,English,"Sep 1, 1995","['Fiction', 'Short stories, American']",['PS: Language and Literatures: American and Canadian literature'],67.51340884017726
335,Frances Waldeaux: A Novel,English,"Sep 1, 1995",['Voyages and travels -- Fiction'],['PS: Language and Literatures: American and Canadian literature'],82.43312464554941
336,Indian Heroes and Great Chieftains,English,"Jul 5, 2008","['Heroes', 'Indians of North America -- Biography', 'Dakota Indians -- Biography']",['E011: History: America: America'],63.52507542875547
337,Indian Boyhood,English,"Jul 5, 2008","['Indians of North America -- Biography', 'Indian children -- North America', 'Eastman, Charles Alexander, 1858-1939 -- Childhood and youth', 'Santee Indians -- Social life and customs', 'Santee Indians -- Biography']",['E011: History: America: America'],70.26205244797052
338,Old Indian Legends,English,"Jul 5, 2008",['Dakota Indians -- Folklore'],['E011: History: America: America'],78.62854039461637
339,Old Indian Days,English,"Jul 5, 2008","['Indians of North America -- Fiction', 'Dakota Indians -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],70.78491684510928
340,The Soul of the Indian: An Interpretation,English,"Jul 5, 2008","['Indians of North America -- Religion', 'Indian mythology -- North America', 'Indian philosophy -- North America']",['E011: History: America: America'],51.07881494461617
341,Myths and Legends of the Sioux,English,"Oct 1, 1995","['Mdewakanton Indians -- Folklore', 'Dakota Indians -- Folklore']",['E011: History: America: America'],76.83376755144327
342,Margaret Ogilvy,English,"Oct 1, 1995","['Barrie, Margaret Ogilvy']","['DA: History: General and Eastern Hemisphere: Great Britain, Ireland, Central Europe']",71.57082813087554
343,Fables,English,"Oct 1, 1995","['Fiction', 'Short stories', 'Fables, Scottish']",['PR: Language and Literatures: English literature'],78.56378122481871
344,"The Merry Men, and Other Tales and Fables",English,"Oct 1, 1995","['Boys -- Fiction', 'Treasure troves -- Fiction', 'Paranormal fiction', 'Great Britain -- History -- 19th century -- Fiction']",['PR: Language and Literatures: English literature'],70.41129489241635
345,Dracula,English,"Oct 1, 1995","['Horror tales', 'Epistolary fiction', 'Gothic fiction', 'Vampires -- Fiction', 'Dracula, Count (Fictitious character) -- Fiction', 'Transylvania (Romania) -- Fiction', 'Whitby (England) -- Fiction']",['PR: Language and Literatures: English literature'],78.23795330578879
346,"The Troll Garden, and Selected Stories",English,"Oct 1, 1995","['Short stories', 'United States -- Social life and customs -- Fiction', 'Man-woman relationships -- Fiction', 'Nebraska -- Social life and customs -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],70.26060099630425
347,The Saga of Grettir the Strong: Grettir's Saga,English,"Jul 5, 2008","['Sagas -- Translations into English', 'Vikings -- Fiction', 'Grettir Ásmundarson, 996-1031 -- Fiction']","['PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures']",79.1907643550473
348,"Hesiod, the Homeric Hymns, and Homerica",English,"Jul 5, 2008","['Epic poetry, Greek', 'Epic poetry, Greek -- Translations into English', 'Hesiod -- Translations into English', 'Gods, Greek -- Poetry', 'Hymns, Greek (Classical) -- Translations into English']",['PA: Language and Literatures: Classical Languages and Literature'],67.96506261447018
349,The Harvester,English,"Oct 1, 1995","['Herbalists -- Fiction', 'Didactic fiction', 'Indiana -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],82.20238550216538
350,Fanny Herself,English,"Jul 3, 2008","['Autobiographical fiction', 'Domestic fiction', 'Bildungsromans', 'Mothers and daughters -- Fiction', 'Jewish fiction', 'Jewish families -- Fiction', 'Jewish girls -- Fiction', 'Wisconsin -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],75.70121272273549
351,Of Human Bondage,English,"Oct 1, 1995","['Orphans -- Fiction', 'People with disabilities -- Fiction', 'Physicians -- Fiction', 'Bildungsromans', 'Artists -- Fiction']",['PR: Language and Literatures: English literature'],76.40312886997049
352,Buttered Side Down: Stories,English,"Nov 1, 1995","['Short stories', 'United States -- Social life and customs -- 20th century -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],76.74952074019382
353,"In Flanders Fields, and Other Poems",English,"Jul 5, 2008","['World War, 1914-1918 -- Poetry', 'Patriotic poetry', 'English poetry', 'McCrae, John, 1872-1918']",['PR: Language and Literatures: English literature'],68.89342028489793
354,The Story of a Pioneer,English,"Nov 1, 1995","['Shaw, Anna Howard, 1847-1919', 'Women -- Suffrage -- United States', 'Women social reformers -- United States -- Biography', ""Women's rights -- United States""]",['JK: Political science: Political inst. and pub. Admin.: United States'],61.645413853552725
355,The Parasite: A Story,English,"Nov 1, 1995","['Horror tales', 'Mesmerism -- Fiction']",['PR: Language and Literatures: English literature'],72.99606514646213
356,Beyond the City,English,"Jul 2, 2008",['Suburbs -- Great Britain -- Fiction'],['PR: Language and Literatures: English literature'],78.28984702138739
357,"A Dream of John Ball; and, A King's Lesson",English,"Nov 1, 1995","['Historical fiction', 'Ball, John, -1381 -- Fiction', ""Tyler's Insurrection, 1381 -- Fiction"", 'Matthias I, King of Hungary, 1443-1490 -- Fiction', 'Peasant uprisings -- Fiction']",['PR: Language and Literatures: English literature'],63.87172330956854
358,The Scarlet Car,English,"Nov 1, 1995","['Humorous stories', 'Love stories', 'Automobiles -- Fiction', 'Automobile driving -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],75.20372294861322
359,Good Stories for Great Holidays Arranged for Story-Telling and Reading Aloud and for the Children's Own Reading,English,"Nov 1, 1995","[""Children's literature"", 'Holidays', 'Short stories', 'Storytelling']",['PZ: Language and Literatures: Juvenile belles lettres'],74.68569527400707
360,What is Property? An Inquiry into the Principle of Right and of Government,English,"Nov 1, 1995","['Economics', 'Property']","['HB: Social sciences: Economic theory, Demography']",48.246431612094995
361,Miss Billy — Married,English,"Jul 11, 2008","['Domestic fiction', 'Married women -- Fiction', 'Marriage -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],75.27226588073327
362,Miss Billy's Decision,English,"Jul 11, 2008","['Love stories', 'Man-woman relationships -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],76.57686697931125
363,The Oakdale Affair,English,"Jul 11, 2008","['Adventure stories', 'Mystery fiction']",['PS: Language and Literatures: American and Canadian literature'],73.92249280278185
364,The Mad King,English,"Nov 1, 1995","['Fantasy fiction', 'Impostors and imposture -- Fiction', 'Adventure stories', 'Kings and rulers -- Fiction', 'Mistaken identity -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],72.98550444648855
365,The Land of Little Rain,English,"Jul 9, 2008","['California -- Social life and customs', 'Natural history -- California', 'California -- Description and travel', 'Frontier and pioneer life -- California', 'California -- History, Local']",['F850.5: United States local history: Pacific States'],63.51566833372944
366,Bab: A Sub-Deb,English,"Mar 15, 2006",['Debutantes -- Fiction'],['PS: Language and Literatures: American and Canadian literature'],36.19336408223427
367,The Country of the Pointed Firs,English,"Jul 11, 2008","['Maine -- Fiction', 'Psychological fiction', 'Pastoral fiction', 'Women authors -- Fiction', 'Authorship -- Fiction', 'Country life -- Fiction', 'Seaside resorts -- Fiction', 'Summer resorts -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],72.41404038612777
368,Acres of Diamonds: Our Every-day Opportunities,English,"Jun 29, 2008","['Success', 'Temple University', 'Conwell, Russell H., 1843-1925']","['BJ: Philosophy, Psychology, Religion: Ethics, Social usages, Etiquette, Religion']",63.98274567880807
